Type,No.,Address,City,St.,Opened,Closed
Supercenter,5060,1410 South Randall Road,Algonquin,IL,"July 1, 2009",
Discount Store,233,1250 Vienna Street,Anna,IL,"November 21, 1978",March 1998
Supercenter,233,300 Leigh Avenue,Anna,IL,March 1998,
Supercenter,5199,475 East Route 173,Antioch,IL,"October 27, 2004",
Discount Store,1818,2131 West Galena Boulevard,Aurora,IL,"March 3, 1992","October 28, 2016"
Supercenter,4405,2900 Kirk Road,Aurora,IL,"March 7, 2008",
Discount Store,5352,801 North Randall Road,Batavia,IL,"October 26, 2005","August 27, 2013"
Supercenter,5352,801 North Randall Road,Batavia,IL,"August 28, 2013",
Discount Store,1451,61 Plaza Drive,Beardstown,IL,"January 31, 1990","March 17, 2009"
Supercenter,1451,100 Lincoln Avenue,Beardstown,IL,"March 18, 2009",
Discount Store,1938,7050 South Cicero Avenue,Bedford Park,IL,"March 2, 1993","October 25, 2012"
Supercenter,1938,7050 South Cicero Avenue,Bedford Park,IL,"October 26, 2012",
Discount Store,201,700 Carlyle Plaza Drive,Belleville,IL,"July 22, 1977","September 14, 1993"
Discount Store,201,120 Carlyle Plaza Drive,Belleville,IL,"September 15, 1993","January 22, 2008"
Supercenter,201,2608 Green Mount Commons Drive,Belleville,IL,"January 23, 2008",
Supercenter,3597,2101 Gateway Center Drive,Belvidere,IL,"August 25, 2004",
Discount Store,262,62 Rend Lake Plaza,Benton,IL,"July 31, 1979","January 27, 2004"
Supercenter,262,919 Giacone Drive,Benton,IL,"January 28, 2004",
Discount Store,1553,314 West Army Trail Road,Bloomingdale,IL,"January 30, 1991","September 10, 2013"
Supercenter,1553,314 West Army Trail Road,Bloomingdale,IL,"September 11, 2013",
Discount Store,1125,"Lakewood Plaza, 1403 North Veterans Parkway",Bloomington,IL,"November 17, 1987","August 12, 1997"
Supercenter,3459,2225 West Market Street,Bloomington,IL,"September 18, 2002",
Discount Store,1596,200 South Bolingbrook Drive,Bolingbrook,IL,"December 3, 1990","August 17, 2010"
Supercenter,1596,200 South Bolingbrook Drive,Bolingbrook,IL,"August 18, 2010",
Discount Store,1307,1260 Kinzie Avenue,Bradley,IL,"May 2, 1989","March 6, 2008"
Supercenter,1307,2080 North Route 50,Bradley,IL,"March 7, 2008",
Discount Store,1779,10260 South Harlem Avenue,Bridgeview,IL,"May 5, 1992",
Discount Store,747,1511 Camp Jackson Road,Cahokia,IL,"February 5, 1985","April 21, 2023"
Discount Store,1713,2071 North Main Street,Canton,IL,"November 5, 1991",
Discount Store,196,1702 West Main Street,Carbondale,IL,"July 22, 1977","July 20, 1993"
Supercenter,196,1450 East Main Street,Carbondale,IL,"July 21, 1993",
Discount Store,334,1030 West Main Street,Carlinville,IL,"November 11, 1980","October 23, 2007"
Supercenter,334,18600 Shipman Road,Carlinville,IL,"October 24, 2007",
Discount Store,436,2517 Franklin Street,Carlyle,IL,"September 21, 1982","June 16, 2009"
Supercenter,436,2591 12th Street,Carlyle,IL,"June 17, 2009",
Discount Store,833,1311 West Main Street,Carmi,IL,"October 8, 1985","October 29, 2002"
Supercenter,833,1344 Illinois Highway,Carmi,IL,"October 30, 2002",
Supercenter,1531,365 Lake Marian Road,Carpentersville,IL,"June 23, 2016",
Discount Store,1395,1340 West McCord Street,Centralia,IL,"October 1, 1990","May 10, 2016"
Supercenter,1395,1212 West McCord Street,Centralia,IL,"May 11, 2016",
Discount Store,1734,913 West Marketview Drive,Champaign,IL,"December 31, 1991","July 19, 2005"
Supercenter,1734,2610 North Prospect Avenue,Champaign,IL,"July 20, 2005",
Discount Store,612,510 West Lincoln Avenue,Charleston,IL,"February 4, 1984","October 24, 2000"
Supercenter,612,2250 Lincoln Avenue,Charleston,IL,"October 25, 2000",
Discount Store,352,2206 State Street,Chester,IL,"November 18, 1980",
Neighborhood Market,2430,1424 West 47th Street,Chicago,IL,"January 16, 2013","April 30, 2017"
Express,3039,225 West Chicago Avenue,Chicago,IL,September 2011,"January 17, 2016"
Express,3041,"Chatham Market, 8301 South Holland Road",Chicago,IL,"July 27, 2011","January 24, 2012"
Express,3065,3636 North Broadway Street,Chicago,IL,"November 30, 2011","January 17, 2016"
Neighborhood Market,3110,7535 South Ashland Avenue,Chicago,IL,"March 4, 2015",
Neighborhood Market,3166,4720 South Cottage Grove Avenue,Chicago,IL,"October 15, 2014","April 16, 2023"
Discount Store,5402,4650 West North Avenue,Chicago,IL,"September 27, 2006",2010
Supercenter,5402,4650 West North Avenue,Chicago,IL,2010,
Supercenter,5617,4626 West Diversey Avenue,Chicago,IL,"July 17, 2013",
Neighborhood Market,5645,2844 North Broadway Street,Chicago,IL,"January 16, 2013","April 16, 2023"
Neighborhood Market,5646,2551 West Cermak Road,Chicago,IL,"January 16, 2013","April 16, 2023"
Neighborhood Market,5647,570 West Monroe Street,Chicago,IL,"September 21, 2011","January 25, 2017"
Supercenter,5781,8431 South Stewart Avenue,Chicago,IL,"January 25, 2012","April 16, 2023"
Supercenter,5965,10900 South Doty Avenue,Chicago,IL,"September 11, 2013",
Supercenter,3004,3320 South Cicero Avenue,Cicero,IL,"May 21, 2014",
Discount Store,487,10 Clinton Plaza,Clinton,IL,"March 1, 1983","July 20, 2018"
Discount Store,361,601 Belt Line Road,Collinsville,IL,"July 8, 1981","June 12, 2007"
Supercenter,361,1040 Collinsville Crossing Boulevard,Collinsville,IL,"June 13, 2007",
Neighborhood Market,2425,1101 Beltline Road,Collinsville,IL,"July 26, 2017",
Supercenter,5486,4005 167th Street,Country Club Hills,IL,"June 14, 2006",
Discount Store,3601,4700 135th Street,Crestwood,IL,"May 17, 2006",2010
Supercenter,3601,4700 135th Street,Crestwood,IL,2010,
Discount Store,1413,5641 Northwest Highway,Crystal Lake,IL,"April 30, 1990","October 23, 2007"
Supercenter,1413,1205 South Route 31,Crystal Lake,IL,"October 24, 2007",
Supercenter,2491,4101 North Vermilion Street,Danville,IL,"August 28, 1996",
Discount Store,2215,2189 South 75th Street,Darien,IL,"July 26, 1994","April 8, 2014"
Supercenter,2215,2189 South 75th Street,Darien,IL,"April 9, 2014",
Discount Store,1690,4224 North Prospect Drive,Decatur,IL,"November 5, 1991","August 24, 1999"
Supercenter,1690,4224 North Prospect Drive,Decatur,IL,"August 25, 1999",
Supercenter,2728,4625 East Maryland Avenue,Decatur,IL,"August 18, 1999",
Discount Store,786,"Northland Plaza, 2500 Sycamore Road",DeKalb,IL,"December 31, 1985","April 22, 1997"
Supercenter,786,2300 Sycamore Road,DeKalb,IL,"April 23, 1997",
Neighborhood Market,6167,727 West Golf Road,Des Plaines,IL,"August 20, 2014","August 6, 2021"
Supercenter,5399,1640 South Galena Avenue,Dixon,IL,"May 18, 2005",
Discount Store,252,100 Southtowne Shopping Center,Du Quoin,IL,"March 18, 1980","August 17, 1999"
Supercenter,252,215 Grant Way,Du Quoin,IL,"August 18, 1999",
Discount Store,1531,620 Dundee Avenue,East Dundee,IL,"February 27, 1991","June 22, 2016"
Discount Store,1028,"Town Centre II, 105 North Main Street",East Peoria,IL,"May 12, 1987","September 15, 1998"
Supercenter,1028,401 River Road,East Peoria,IL,"September 16, 1998",
Discount Store,936,1204 Avenue of Mid-America,Effingham,IL,"November 18, 1986","September 11, 2001"
Supercenter,936,1204 Avenue of Mid-America,Effingham,IL,"September 12, 2001",
Discount Store,1814,1001 North Randall Road,Elgin,IL,"August 4, 1992","October 25, 2011"
Supercenter,1814,1100 South Randall Road,Elgin,IL,"October 26, 2011",
Discount Store,1897,801 Meacham Road,Elk Grove Village,IL,"February 2, 1993","September 13, 2011"
Supercenter,1897,801 Meacham Road,Elk Grove Village,IL,"September 14, 2011",
Discount Store,5485,2500 West 95th Street,Evergreen Park,IL,"January 27, 2006",2010
Supercenter,5485,2500 West 95th Street,Evergreen Park,IL,2010,
Discount Store,454,211 Market Avenue,Fairfield,IL,"March 2, 1982","April 12, 2005"
Supercenter,454,150 Commerce Drive,Fairfield,IL,"April 13, 2005",
Discount Store,506,1451 North State Road,Flora,IL,"April 5, 1983","July 18, 2006"
Supercenter,506,1540 North Worthey Street,Flora,IL,"July 19, 2006",
Discount Store,2204,1300 Des Plaines Avenue,Forest Park,IL,"October 26, 1994","July 17, 2012"
Supercenter,2204,1300 Des Plaines Avenue,Forest Park,IL,"July 18, 2012",
Discount Store,1740,1755 South West Avenue,Freeport,IL,"February 4, 1992","January 15, 2008"
Supercenter,1740,2545 Route 26 South,Freeport,IL,"January 16, 2008",
Supercenter,5044,10000 Bartel Boulevard,Galena,IL,"January 26, 2005",
Discount Store,775,2031 National Boulevard,Galesburg,IL,"October 1, 1985","July 17, 2007"
Supercenter,775,659 Knox Square Drive,Galesburg,IL,"July 18, 2007",
Discount Store,957,125 East Bester Drive,Geneseo,IL,"September 16, 1986",
Discount Store,256,"Cottonwood Plaza, 200 Junction Drive",Glen Carbon,IL,"August 21, 1979","January 28, 1997"
Discount Store,256,400 Junction Drive,Glen Carbon,IL,"January 29, 1997","August 26, 2013"
Supercenter,256,400 Junction Drive,Glen Carbon,IL,"August 27, 2013",
Discount Store,1848,3S100 Route 53,Glen Ellyn,IL,"September 28, 1993","August 12, 2014"
Supercenter,1848,3S100 Route 53,Glen Ellyn,IL,"August 13, 2014",
Discount Store,5404,103 Holbrook Road,Glenwood,IL,"September 14, 2005","October 25, 2016"
Supercenter,4695,6660 Godfrey Road,Godfrey,IL,"January 26, 2011",
Discount Store,1761,379 West Pontoon Road,Granite City,IL,"February 4, 1992","August 9, 2011"
Supercenter,1761,379 West Pontoon Road,Granite City,IL,"August 10, 2011",
Discount Store,1668,6590 Grand Avenue,Gurnee,IL,"October 1, 1991","August 18, 2009"
Supercenter,1668,6590 Grand Avenue,Gurnee,IL,"August 19, 2009",
Discount Store,237,540 North Commercial Street,Harrisburg,IL,"November 14, 1978",February 1991
Discount Store,237,"Arrowhead Point Shopping Center, 701 North Commercial Street",Harrisburg,IL,February 1991,"October 28, 2008"
Supercenter,237,710 South Commercial Street,Harrisburg,IL,"October 29, 2008",
Discount Store,1211,1201 South Division Street,Harvard,IL,"August 16, 1988","July 15, 2008"
Supercenter,1211,21101 McGuire Road,Harvard,IL,"July 16, 2008",
Discount Store,596,1713 South Park Avenue,Herrin,IL,"October 16, 1984",
Discount Store,435,12589 Route 143,Highland,IL,"September 21, 1982","March 13, 2001"
Supercenter,435,12495 Route 143,Highland,IL,"March 14, 2001",
Discount Store,1892,"Quarry Shopping Center, 9450 West Joliet Road",Hodgkins,IL,"November 2, 1992",2009
Supercenter,1892,"Quarry Shopping Center, 9450 West Joliet Road",Hodgkins,IL,2009,
Supercenter,5404,17550 South Halsted Street,Homewood,IL,"October 26, 2016","March 10, 2023"
Supercenter,4641,12300 Route 47,Huntley,IL,"April 29, 2009",
Discount Store,200,1809 West Morton Avenue,Jacksonville,IL,"July 22, 1977","February 12, 1991"
Discount Store,200,1205 West Morton Avenue,Jacksonville,IL,"February 13, 1991","March 6, 2008"
Supercenter,200,1941 West Morton Avenue,Jacksonville,IL,"March 7, 2008",
Discount Store,253,"Jerseyville Mall, 943 South State Street",Jerseyville,IL,1979,"December 29, 1986"
Discount Store,253,"Jerseyville Mall, 913 South State Street",Jerseyville,IL,"December 30, 1986",May 1996
Supercenter,253,1316 South State Street,Jerseyville,IL,May 1996,
Supercenter,1377,3801 Running Brook Farm Boulevard,Johnsburg,IL,"October 26, 2011",
Discount Store,1256,305 South Larkin Avenue,Joliet,IL,"April 3, 1989","January 22, 2008"
Supercenter,1256,2424 West Jefferson Street,Joliet,IL,"January 23, 2008",
Discount Store,2956,1401 Route 59,Joliet,IL,"September 15, 2004","November 6, 2007"
Supercenter,2956,1401 Route 59,Joliet,IL,"November 7, 2007",
Supercenter,4323,505 Riverstone Parkway,Kankakee,IL,"March 7, 2008",
Discount Store,633,730 Tenney Street,Kewanee,IL,"October 23, 1984","August 15, 1995"
Supercenter,633,730 Tenney Street,Kewanee,IL,"August 16, 1995",
Discount Store,1404,820 South Rand Road,Lake Zurich,IL,"January 31, 1990",2011
Supercenter,1404,820 South Rand Road,Lake Zurich,IL,2011,
Discount Store,2817,"The Landings, 16771 Torrence Avenue",Lansing,IL,"January 24, 2001","March 17, 2015"
Supercenter,2817,"Lansing Square, 17625 Torrence Avenue",Lansing,IL,"March 18, 2015",
Discount Store,550,2610 West Haven Road,Lawrenceville,IL,"February 1, 1984","May 20, 2008"
Supercenter,550,2610 West Haven Road,Lawrenceville,IL,"May 21, 2008",
Discount Store,199,"Heritage Plaza Shopping Center, 1212 Woodlawn Road",Lincoln,IL,"July 22, 1977","October 28, 1991"
Discount Store,199,1501 Woodlawn Road,Lincoln,IL,"October 29, 1991","March 13, 2007"
Supercenter,199,825 Malerich Drive,Lincoln,IL,"March 14, 2007",
Pickup,4177,6840 North McCormick Boulevard,Lincolnwood,IL,"July 10, 2019","February 17, 2023"
Discount Store,213,903 Route 66 North,Litchfield,IL,"May 16, 1978",February 1980
Discount Store,213,15 Litchfield Plaza,Litchfield,IL,February 1980,"August 17, 1999"
Supercenter,213,1205 West Ferdon Street,Litchfield,IL,"August 18, 1999",
Supercenter,3790,16241 South Farrell Road,Lockport,IL,"September 19, 2007",
Discount Store,197,2300 East Jackson Road,Macomb,IL,"July 22, 1977",1992
Discount Store,197,1730 East Jackson Road,Macomb,IL,1992,"August 26, 2003"
Supercenter,197,1730 East Jackson Road,Macomb,IL,"August 27, 2003",
Discount Store,216,"Westmoreland Plaza, 1301 West Deyoung Street",Marion,IL,"March 27, 1979","July 1, 1991"
Discount Store,216,2705 Walton Way,Marion,IL,"July 2, 1991","September 19, 2006"
Supercenter,216,2802 Outer Road Drive,Marion,IL,"September 20, 2006",
Discount Store,798,1608 Highway 1,Marshall,IL,"August 30, 1985","October 23, 2007"
Supercenter,798,108 Kyden Drive,Marshall,IL,"October 24, 2007",
Discount Store,1497,21410 South Cicero Avenue,Matteson,IL,"October 1, 1990","May 31, 2016"
Discount Store,481,301 Richmond Avenue East,Mattoon,IL,"November 2, 1982","April 19, 1994"
Supercenter,481,101 Dettro Drive,Mattoon,IL,"April 20, 1994",
Discount Store,1377,2019 Richmond Road,McHenry,IL,"December 30, 1989","October 25, 2011"
Supercenter,2231,3930 44th Avenue Drive,Moline,IL,"April 24, 1996",
Supercenter,4286,2000 Orchard Road,Montgomery,IL,"September 15, 2007",
Discount Store,844,2655 Sycamore Drive,Morris,IL,"September 2, 1986",July 1998
Supercenter,844,333 East Route 6,Morris,IL,July 1998,
Supercenter,5157,155 East Courtland Street,Morton,IL,"October 27, 2004",
Discount Store,1681,930 East Mount Prospect Plaza,Mount Prospect,IL,"November 5, 1991",2010
Supercenter,1681,930 East Mount Prospect Plaza,Mount Prospect,IL,2010,
Discount Store,224,180 Times Square Mall,Mount Vernon,IL,"June 13, 1978","June 17, 1997"
Supercenter,224,110 Davidson Avenue,Mount Vernon,IL,"June 18, 1997",
Discount Store,302,550 East Industrial Park Road,Murphysboro,IL,"September 30, 1980","March 6, 2008"
Supercenter,302,6495 Country Club Road,Murphysboro,IL,"March 7, 2008",
Discount Store,1401,"Fox River Commons, 776 South Route 59",Naperville,IL,"October 29, 1990","March 11, 2014"
Supercenter,1401,2552 West 75th Street,Naperville,IL,"March 12, 2014",
Supercenter,4529,501 East Lincoln Highway,New Lenox,IL,"October 27, 2010",
Discount Store,2816,5630 Touhy Avenue,Niles,IL,"April 19, 2000",
Discount Store,3725,"Golf-Milwaukee Plaza, 8500 West Golf Road",Niles,IL,"October 18, 2006",2010
Supercenter,3725,"Golf-Milwaukee Plaza, 8500 West Golf Road",Niles,IL,2010,
Supercenter,1125,300 North Greenbriar Drive,Normal,IL,"August 13, 1997",
Discount Store,1933,137 West North Avenue,Northlake,IL,"July 27, 1993",
Discount Store,1418,1530 West Highway 50,O'Fallon,IL,"January 31, 1990","June 22, 2004"
Supercenter,1418,1530 West Highway 50,O'Fallon,IL,"June 23, 2004",
Discount Store,254,"Richland County Mall, 501 North West Street",Olney,IL,"November 13, 1979","October 27, 1998"
Supercenter,254,1001 North West Street,Olney,IL,"October 28, 1998",
Supercenter,4049,21000 Western Avenue,Olympia Fields,IL,"September 14, 2016",
Discount Store,1556,"Orland Towne Center, 9265 West 159th Street",Orland Hills,IL,"October 1, 1991","March 17, 2009"
Supercenter,1556,"Orland Towne Center, 9245 West 159th Street",Orland Hills,IL,"March 18, 2009",
Supercenter,3400,2300 US Highway 34,Oswego,IL,"August 8, 2007",
Discount Store,852,2901 North Columbus Street,Ottawa,IL,"December 31, 1985","August 15, 2006"
Supercenter,852,4041 Veterans Drive,Ottawa,IL,"August 16, 2006",
Discount Store,5276,1555 North Rand Road,Palatine,IL,"August 25, 2004",
Discount Store,460,10 West Second Street,Pana,IL,"November 29, 1983","October 12, 2018"
Supercenter,2934,15150 US Highway 150,Paris,IL,"October 25, 2000",
Discount Store,603,3315 Court Street,Pekin,IL,"October 8, 1985","April 13, 2004"
Supercenter,603,3320 Veterans Drive,Pekin,IL,"April 14, 2004",
Discount Store,1323,3315 North University Street,Peoria,IL,"September 1, 1992",
Supercenter,3460,8915 North Allen Road,Peoria,IL,"August 20, 2003",
Discount Store,796,1650 38th Street,Peru,IL,"April 1, 1986","August 7, 2007"
Supercenter,796,5307 Route 251,Peru,IL,"August 8, 2007",
Discount Store,480,151 Shetland Drive,Pittsfield,IL,"November 30, 1982",
Discount Store,5038,12690 South Route 59,Plainfield,IL,"August 25, 2004","April 3, 2007"
Supercenter,5038,12690 South Route 59,Plainfield,IL,"April 4, 2007","March 10, 2023"
Discount Store,1003,15606 West Route 34,Plano,IL,"February 3, 1987",July 1996
Supercenter,1003,6800 West Route 34,Plano,IL,July 1996,
Discount Store,1386,1706 West Reynolds Street,Pontiac,IL,"December 31, 1990","March 13, 2007"
Supercenter,1386,1706 West Reynolds Street,Pontiac,IL,"March 14, 2007",
Discount Store,636,2106 North Main Street,Princeton,IL,"March 5, 1985","October 15, 2002"
Supercenter,636,2111 Claude Bailey Parkway,Princeton,IL,"October 16, 2002",
Discount Store,1454,"Quincy Commons, 3800 Broadway Street",Quincy,IL,"February 24, 1990","April 18, 2000"
Supercenter,1454,5211 Broadway Street,Quincy,IL,"April 19, 2000",
Discount Store,1093,2040 Lon Drive,Rantoul,IL,"March 8, 1988","August 7, 2007"
Supercenter,1093,845 Broadmeadow Road,Rantoul,IL,"August 8, 2007",
Supercenter,1497,22401 Central Avenue,Richton Park,IL,"June 1, 2016",
Discount Store,422,1304 East Main Street,Robinson,IL,"August 3, 1982","October 23, 2007"
Supercenter,422,1304 East Main Street,Robinson,IL,"October 24, 2007",
Discount Store,933,1240 North 7th Street,Rochelle,IL,"September 30, 1986","September 13, 2011"
Supercenter,933,311 East Route 38,Rochelle,IL,"September 14, 2011",
Discount Store,830,1901 1st Avenue,Rock Falls,IL,"January 21, 1986",
Discount Store,1490,7143 East State Street,Rockford,IL,"August 1, 1990","May 17, 2005"
Supercenter,1490,7219 Walton Street,Rockford,IL,"May 18, 2005",
Discount Store,1955,3849 Northridge Drive,Rockford,IL,"April 30, 1993","July 10, 2001"
Supercenter,1955,3849 Northridge Drive,Rockford,IL,"July 11, 2001",
Supercenter,5398,3902 West Riverside Boulevard,Rockford,IL,"April 13, 2005",
Discount Store,2815,"Marketplace of Rolling Meadows, 1460 Golf Road",Rolling Meadows,IL,"May 17, 2000",
Supercenter,4531,"Romeoville Crossings, 420 South Weber Road",Romeoville,IL,"January 23, 2008",
Supercenter,3837,4781 East Rockton Road,Roscoe,IL,"March 14, 2007",
Discount Store,1228,772 East Rollins Road,Round Lake Beach,IL,"December 31, 1988","October 27, 2009"
Supercenter,1228,2680 North Route 83,Round Lake Beach,IL,"October 28, 2009",
Discount Store,198,1307 West Main Street,Salem,IL,"July 22, 1977","April 15, 2003"
Supercenter,198,1870 West Main Street,Salem,IL,"April 16, 2003",
Supercenter,3255,505 South Dunlap Avenue,Savoy,IL,"August 15, 2001",
Supercenter,4259,2607 West Main Street,Shelbyville,IL,"January 22, 2007",
Supercenter,4511,1601 18th Street,Silvis,IL,"March 5, 2008",
Supercenter,1998,3626 West Touhy Avenue,Skokie,IL,"August 13, 2014",
Discount Store,222,1701 North Market Street,Sparta,IL,"December 5, 1978","April 23, 1996"
Supercenter,222,1410 North Market Street,Sparta,IL,"April 24, 1996",
Discount Store,1602,3401 Freedom Drive,Springfield,IL,"January 30, 1991","September 13, 2011"
Supercenter,1602,3401 Freedom Drive,Springfield,IL,"September 14, 2011",
Supercenter,3210,2760 North Dirksen Parkway,Springfield,IL,"October 24, 2001",
Supercenter,3602,1100 Lejune Drive,Springfield,IL,"July 16, 2008",
Discount Store,1898,150 Smith Road,St. Charles,IL,"March 2, 1993","May 17, 2011"
Supercenter,1898,150 Smith Road,St. Charles,IL,"May 18, 2011",
Discount Store,891,3300 East Lynn Boulevard,Sterling,IL,"February 3, 1987",1998
Supercenter,891,4115 East Lincolnway,Sterling,IL,1998,
Discount Store,1420,850 South Barrington Road,Streamwood,IL,"January 31, 1990","May 31, 2011"
Supercenter,1420,850 South Barrington Road,Streamwood,IL,"June 1, 2011",
Supercenter,4699,2415 North Bloomington Street,Streator,IL,"October 12, 2011",
Discount Store,343,400 North Webster Street,Taylorville,IL,"June 2, 1981","October 26, 1999"
Supercenter,343,1530 West Springfield Road,Taylorville,IL,"October 27, 1999",
Supercenter,5403,100 South High Cross Road,Urbana,IL,"January 27, 2006",
Discount Store,317,2700 Veterans Avenue,Vandalia,IL,"September 15, 1981","May 18, 2004"
Supercenter,317,201 North Mattes Avenue,Vandalia,IL,"May 19, 2004",
Discount Store,1489,555 Townline Road,Vernon Hills,IL,"August 1, 1990",
Discount Store,1737,900 South Route 83,Villa Park,IL,"August 4, 1992","June 26, 2012"
Supercenter,1737,900 South Route 83,Villa Park,IL,"June 27, 2012",
Discount Store,1421,1750 Washington Road,Washington,IL,"January 31, 1990","October 26, 2004"
Supercenter,1421,1980 Freedom Parkway,Washington,IL,"October 27, 2004",
Discount Store,328,720 North Market Street,Waterloo,IL,"April 21, 1981","September 15, 1998"
Supercenter,328,961 North Market Street,Waterloo,IL,"September 16, 1998",
Discount Store,1548,1200 East Walnut Street,Watseka,IL,"December 3, 1990","January 25, 2012"
Supercenter,1548,1790 East Walnut Street,Watseka,IL,"January 26, 2012",
Supercenter,3891,3900 Fountain Square Place,Waukegan,IL,"July 19, 2006",
Discount Store,1735,1455 East Lake-Cook Road,Wheeling,IL,"February 4, 1992","August 14, 2012"
Supercenter,1735,1455 East Lake-Cook Road,Wheeling,IL,"August 15, 2012",
Discount Store,1071,1501 Vaughn Road,Wood River,IL,"October 1, 1987","May 16, 2006"
Supercenter,1071,610 Wesley Drive,Wood River,IL,"May 17, 2006",
Supercenter,3434,1275 Lake Avenue,Woodstock,IL,"January 22, 2007",
Supercenter,3893,4000 Route 173,Zion,IL,"June 11, 2008",
Discount Store,1728,4420 Scatterfield Road,Anderson,IN,"July 31, 1991","January 18, 2007"
Supercenter,1728,2321 Charles Street,Anderson,IN,"January 19, 2007",
Discount Store,1709,1501 North Wayne Street,Angola,IN,"November 5, 1991","July 17, 2001"
Supercenter,1709,2016 North Wayne Street,Angola,IN,"July 18, 2001",
Discount Store,1570,505 Touring Drive,Auburn,IN,"January 30, 1991",May 1998
Supercenter,1570,505 Touring Drive,Auburn,IN,May 1998,
Discount Store,1160,888 Green Boulevard,Aurora,IN,"June 30, 1988","August 20, 1996"
Supercenter,1160,100 Sycamore Estates Drive,Aurora,IN,"August 21, 1996",
Supercenter,2786,9500 East US Highway 36,Avon,IN,"January 21, 2004",
Discount Store,1026,2649 West 16th Street,Bedford,IN,"March 31, 1987","August 15, 2006"
Supercenter,1026,3200 John Williams Boulevard,Bedford,IN,"August 16, 2006",
Discount Store,1991,3201 West State Road 45,Bloomington,IN,"January 25, 1994","October 17, 2006"
Supercenter,1991,3313 West State Road 45,Bloomington,IN,"October 18, 2006",
Supercenter,2819,2100 North Main Street,Bluffton,IN,"January 26, 2000",
Discount Store,566,820 West Main Street,Boonville,IN,"March 6, 1984","January 27, 2004"
Supercenter,566,1115 American Way,Boonville,IN,"January 28, 2004",
Discount Store,1629,2150 East National Avenue,Brazil,IN,"April 2, 1991",
Supercenter,2788,400 West Northfield Drive,Brownsburg,IN,"January 26, 2000",
Supercenter,4417,8191 Upland Bend,Camby,IN,"June 11, 2008",
Discount Store,1601,2001 East 151st Street,Carmel,IN,"January 30, 1991",2011
Supercenter,1601,2001 East 151st Street,Carmel,IN,2011,
Discount Store,1476,951 Highway 131,Clarksville,IN,"June 27, 1990","August 24, 2004"
Supercenter,1476,1351 Veterans Parkway,Clarksville,IN,"August 25, 2004",
Discount Store,1013,1795 East State Road 163,Clinton,IN,"March 3, 1987",
Discount Store,1425,402 West Plaza Drive,Columbia City,IN,"January 31, 1990","October 28, 1997"
Supercenter,1425,402 West Plaza Drive,Columbia City,IN,"October 29, 1997",
Discount Store,1371,1149 North National Road,Columbus,IN,"June 24, 1989","October 29, 2002"
Supercenter,1371,735 Whitfield Drive,Columbus,IN,"October 30, 2002",
Supercenter,4216,2025 Merchant Mile,Columbus,IN,"September 20, 2006",
Discount Store,1729,2100 Park Road,Connersville,IN,"September 11, 1991","July 19, 2011"
Supercenter,1729,4200 Western Avenue,Connersville,IN,"July 20, 2011",
Discount Store,922,1935 Old State Road 135 North,Corydon,IN,"June 17, 1986","July 19, 1994"
Supercenter,922,2363 Highway 135 Northwest,Corydon,IN,"July 20, 1994",
Discount Store,1655,1601 US Highway 231 South,Crawfordsville,IN,"December 31, 1991","May 16, 2006"
Supercenter,1655,1835 South US Highway 231,Crawfordsville,IN,"May 17, 2006",
Supercenter,6476,1894 Ridge Avenue,Danville,IN,"January 27, 2016",
Discount Store,1647,629 North 13th Street,Decatur,IN,"April 2, 1991","October 25, 2005"
Supercenter,1647,1700 South 13th Street,Decatur,IN,"October 26, 2005",
Supercenter,2679,175 Country Road 6 West,Elkhart,IN,"March 17, 1999",
Supercenter,4399,30830 Old US Highway 20,Elkhart,IN,"March 5, 2008",
Discount Store,1263,5300 East Indiana Street,Evansville,IN,"November 17, 1988","May 20, 1997"
Supercenter,1263,"Lloyd Crossing, 401 North Burkhardt Road",Evansville,IN,"May 21, 1997",
Discount Store,1341,4551 University Drive,Evansville,IN,"October 31, 1989","January 25, 2005"
Supercenter,1341,335 South Red Bank Road,Evansville,IN,"January 26, 2005",
Neighborhood Market,5372,3430 Taylor Avenue,Evansville,IN,"March 3, 2004",
Neighborhood Market,5452,2500 North First Avenue,Evansville,IN,"January 27, 2016",
Discount Store,1557,8300 East 96th Street,Fishers,IN,"December 3, 1990","April 22, 2003"
Supercenter,1557,8300 East 96th Street,Fishers,IN,"April 23, 2003",
Neighborhood Market,5767,9354 East 131st Street,Fishers,IN,"January 15, 2014",
Discount Store,1419,5311 Coldwater Road,Fort Wayne,IN,"January 31, 1990","July 11, 2000"
Supercenter,1419,5311 Coldwater Road,Fort Wayne,IN,"July 12, 2000",
Discount Store,1804,1710 Apple Glen Boulevard,Fort Wayne,IN,"September 1, 1992","August 15, 2000"
Supercenter,1804,1710 Apple Glen Boulevard,Fort Wayne,IN,"August 16, 2000",
Supercenter,4230,10105 Lima Road,Fort Wayne,IN,"May 7, 2008",
Supercenter,4231,7502 Southtown Crossing Boulevard,Fort Wayne,IN,"September 20, 2006",
Supercenter,5025,10420 Maysville Road,Fort Wayne,IN,"July 16, 2003",
Discount Store,854,2401 East Wabash Street,Frankfort,IN,"January 21, 1986","October 29, 2002"
Supercenter,854,2460 East Wabash Street,Frankfort,IN,"October 30, 2002",
Discount Store,995,1540 North Morton Street,Franklin,IN,"February 3, 1987","April 23, 1996"
Supercenter,995,2125 North Morton Street,Franklin,IN,"April 24, 1996",
