data_year,actual,synthetic,period,treated_unit,treatment_year,effect,rel_year
2014,6387,2556.104537816587,Post-Treatment,Androscoggin_County,2001,3830.895462183413,13
2015,6278,2480.3167594412243,Post-Treatment,Androscoggin_County,2001,3797.6832405587757,14
2016,6367,2493.2829267146926,Post-Treatment,Androscoggin_County,2001,3873.7170732853074,15
2017,6306,2455.2576556096983,Post-Treatment,Androscoggin_County,2001,3850.7423443903017,16
2018,6288,2418.8977281267084,Post-Treatment,Androscoggin_County,2001,3869.1022718732916,17
2019,6330,2401.448005525152,Post-Treatment,Androscoggin_County,2001,3928.551994474848,18
2020,5932,2206.314843136533,Post-Treatment,Androscoggin_County,2001,3725.685156863467,19
2021,6030,2304.9373732927615,Post-Treatment,Androscoggin_County,2001,3725.0626267072385,20
2022,6013,2307.191680267731,Post-Treatment,Androscoggin_County,2001,3705.808319732269,21
2023,6073,2367.282633650856,Post-Treatment,Androscoggin_County,2001,3705.717366349144,22
1990,8571,2370.0493338408646,Pre-Treatment,Berkshire_County,1995,6200.950666159135,-5
1991,8105,2294.306328171074,Pre-Treatment,Berkshire_County,1995,5810.693671828926,-4
1992,7782,2315.6975031789502,Pre-Treatment,Berkshire_County,1995,5466.30249682105,-3
1993,7907,2372.8219246447456,Pre-Treatment,Berkshire_County,1995,5534.178075355254,-2
1994,8012,2523.9838616368565,Pre-Treatment,Berkshire_County,1995,5488.016138363144,-1
1995,8536,2646.5460868722366,Post-Treatment,Berkshire_County,1995,5889.453913127763,0
1996,8794,2722.0907959234323,Post-Treatment,Berkshire_County,1995,6071.909204076568,1
1997,8823,2675.981407483875,Post-Treatment,Berkshire_County,1995,6147.018592516125,2
1998,8744,2733.8429958623783,Post-Treatment,Berkshire_County,1995,6010.157004137622,3
1999,8910,2829.3019118309467,Post-Treatment,Berkshire_County,1995,6080.698088169053,4
2000,8735,2895.301498213247,Post-Treatment,Berkshire_County,1995,5839.698501786753,5
2001,8649,2947.442273358266,Post-Treatment,Berkshire_County,1995,5701.557726641734,6
2002,8740,2911.9932072310294,Post-Treatment,Berkshire_County,1995,5828.006792768971,7
2003,8750,2937.8121794708873,Post-Treatment,Berkshire_County,1995,5812.187820529112,8
2004,8739,2985.7270446460634,Post-Treatment,Berkshire_County,1995,5753.272955353937,9
2005,8806,2962.1231692461906,Post-Treatment,Berkshire_County,1995,5843.876830753809,10
2006,8821,2925.379255307238,Post-Treatment,Berkshire_County,1995,5895.620744692762,11
2007,8894,2846.052979503773,Post-Treatment,Berkshire_County,1995,6047.947020496227,12
2008,8656,2793.793268422961,Post-Treatment,Berkshire_County,1995,5862.206731577039,13
2009,8467,2678.004180976661,Post-Treatment,Berkshire_County,1995,5788.995819023339,14
2010,8575,2625.2789388167857,Post-Treatment,Berkshire_County,1995,5949.721061183214,15
2011,8704,2578.9544975091594,Post-Treatment,Berkshire_County,1995,6125.045502490841,16
2012,8691,2626.0432573537473,Post-Treatment,Berkshire_County,1995,6064.956742646253,17
2013,8686,2578.7273466862193,Post-Treatment,Berkshire_County,1995,6107.272653313781,18
2014,8583,2553.2335233549607,Post-Treatment,Berkshire_County,1995,6029.76647664504,19
2015,8584,2476.4910563085487,Post-Treatment,Berkshire_County,1995,6107.508943691451,20
2016,8232,2488.622764875717,Post-Treatment,Berkshire_County,1995,5743.377235124282,21
2017,8080,2451.4337271413383,Post-Treatment,Berkshire_County,1995,5628.566272858661,22
2018,7614,2414.54549138574,Post-Treatment,Berkshire_County,1995,5199.45450861426,23
2019,7579,2395.2931786789063,Post-Treatment,Berkshire_County,1995,5183.706821321093,24
2020,6966,2197.0564719979093,Post-Treatment,Berkshire_County,1995,4768.943528002091,25
2021,7575,2298.0424558278087,Post-Treatment,Berkshire_County,1995,5276.957544172192,26
2022,7440,2299.0647759554213,Post-Treatment,Berkshire_County,1995,5140.935224044579,27
2023,7416,2360.588833082876,Post-Treatment,Berkshire_County,1995,5055.411166917123,28
1990,4198,2365.6602570079804,Pre-Treatment,Cheshire_County,2002,1832.3397429920196,-12
1991,3945,2290.256893850825,Pre-Treatment,Cheshire_County,2002,1654.7431061491752,-11
1992,4126,2311.493810944997,Pre-Treatment,Cheshire_County,2002,1814.5061890550028,-10
1993,4418,2367.2278363038313,Pre-Treatment,Cheshire_County,2002,2050.7721636961687,-9
1994,4705,2517.1407436459176,Pre-Treatment,Cheshire_County,2002,2187.8592563540824,-8
1995,4998,2638.755226517174,Pre-Treatment,Cheshire_County,2002,2359.244773482826,-7
1996,5217,2713.6713733450792,Pre-Treatment,Cheshire_County,2002,2503.3286266549208,-6
1997,4977,2667.8534741330486,Pre-Treatment,Cheshire_County,2002,2309.1465258669514,-5
1998,5038,2727.226828088611,Pre-Treatment,Cheshire_County,2002,2310.773171911389,-4
1999,5075,2822.824580566754,Pre-Treatment,Cheshire_County,2002,2252.175419433246,-3
2000,5196,2889.3446227808213,Pre-Treatment,Cheshire_County,2002,2306.6553772191787,-2
2001,5295,2941.9993787809426,Pre-Treatment,Cheshire_County,2002,2353.0006212190574,-1
2002,5129,2906.567040752479,Post-Treatment,Cheshire_County,2002,2222.432959247521,0
2003,5229,2931.194464997924,Post-Treatment,Cheshire_County,2002,2297.805535002076,1
2004,5372,2978.9145587071084,Post-Treatment,Cheshire_County,2002,2393.0854412928916,2
2005,5366,2955.8178468121487,Post-Treatment,Cheshire_County,2002,2410.1821531878513,3
2006,5684,2918.767134931749,Post-Treatment,Cheshire_County,2002,2765.232865068251,4
2007,5600,2840.2200723065935,Post-Treatment,Cheshire_County,2002,2759.7799276934065,5
2008,5507,2788.756884880945,Post-Treatment,Cheshire_County,2002,2718.243115119055,6
2009,5190,2673.443393814736,Post-Treatment,Cheshire_County,2002,2516.556606185264,7
2010,5217,2621.3220621695864,Post-Treatment,Cheshire_County,2002,2595.6779378304136,8
2011,5301,2575.0904477878416,Post-Treatment,Cheshire_County,2002,2725.9095522121584,9
2012,5359,2621.884253384705,Post-Treatment,Cheshire_County,2002,2737.115746615295,10
2013,5301,2575.7159121391046,Post-Treatment,Cheshire_County,2002,2725.2840878608954,11
2014,5340,2551.5259179064064,Post-Treatment,Cheshire_County,2002,2788.4740820935936,12
2015,5324,2475.4069428673324,Post-Treatment,Cheshire_County,2002,2848.5930571326676,13
2016,5354,2487.73920280887,Post-Treatment,Cheshire_County,2002,2866.26079719113,14
2017,5251,2450.56699123933,Post-Treatment,Cheshire_County,2002,2800.43300876067,15
2018,5154,2414.0098920084956,Post-Treatment,Cheshire_County,2002,2739.9901079915044,16
2019,5111,2395.450014715299,Post-Treatment,Cheshire_County,2002,2715.549985284701,17
2020,5023,2198.635922461952,Post-Treatment,Cheshire_County,2002,2824.364077538048,18
2021,5185,2298.6470553925,Post-Treatment,Cheshire_County,2002,2886.3529446075,19
2022,4944,2300.161416122006,Post-Treatment,Cheshire_County,2002,2643.838583877994,20
2023,5124,2360.9823881465372,Post-Treatment,Cheshire_County,2002,2763.0176118534628,21
